"S.NO,SECTION,DV,M-II,PP,BEEE,FL,FIMS"
"315,OMEGA,14,3,8,15,18,12"
"316,OMEGA,12,3,6,7,15,Io"
"317,OMEGA,14,0,1,6,6,1"
"318,OMEGA,12,0,4,15,11,9"
"319,OMEGA,11,0,2,6,16,10"
"320,OMEGA,16,1,5,15,13,11"
"321,SIGMA,11,1,6,16,11,13"
"322,SIGMA,12,5,8,16,16,7"
"323,SIGMA,16,5,4,15,18,13"
"324,SIGMA,9,,2,3,11,1"
"325,SIGMA,6,0,3,3,10,4"
"326,SIGMA,9,3,3,12,10,5"
"327,SIGMA,5,3,9,10,10,7"
"328,SIGMA,15,8,6,7,15,10"
"329,SIGMA,13,9,15,16,20,16"
"330,SIGMA,20,12,14,20,20,14"
"331,SIGMA,14,1,9,14,10,9"
"332,SIGMA,18,11,9,20,15,13"
"333,SIGMA,16,5,10,20,18,11"
"334,SIGMA,19,9,18,I7,19,17"
"335,SIGMA,10,0,4,6,13,9"
"336,SIGMA,18,15,13,20,15,A"
"337,SIGMA,20,17,16,20,20,18"
"338,SIGMA,13,3,11,15,18,12"
"339,SIGMA,20,14,18,17,19,15"
"340,SIGMA,17,17,15,20,19,13"
"341,SIGMA,7,o,3,A,13,8"
"342,SIGMA,16,I2,16,19,18,15"
"343,SIGMA,11,3,6,10,15,8"
"344,SIGMA,15,3,6,12,13,10"
"345,SIGMA,14,9,8,18,13,15"
"346,SIGMA,13,10,9,14,20,16"
"347,SIGMA,15,7,14,20,18,11"
"348,SGMA,19,19,10,18,18,11"
"349,SIGMA,15,14,12,14,15,15"
"350,SIGMA,17,11,6,11,15,10"
"351,SIGMA,18,10,9,16,15,13"
"352,SIGMA,13,6,9,11,18,14"
"353,SIGMA,12,9,10,18,2o,16"
"354,SIGMA,19,8,13,19,18,16"
"355,SIGMA,20,4,16,18,19,14"
"356,SIGMA,20,15,14,16,20,12"
"357,SIGMA,14,1,6,8,10,9"
"358,SIGMA,19,16,16,17,15,16"
"359,SIGMA,16,4,13,17,15,16"
"360,SIGMA,12,3,2,7,13,9"
"361,ZETA,20,8,0,o,13,13"
"362,ZETA,A,AB,6,7,13,A"
"363,ZETA,19,8,17,18,13,14"
"364,ZETA,11,4,7,12,13,15"
"365,ZETA,5,3,3,2,10,9"
"366,ZETA,20,18,MP,19,18,17"
"367,ZETA,11,I,7,19,15,11"
"368,ZETA,20,20,19,20,18,16"
"369,ZETA,A,AB,AB,A,A,A"
"370,ZETA,18,17,17,16,18,15"
"371,ZETA,20,17,16,20,20,14"
"372,ZETA,18,18,17,19,15,15"
"373,ZETA,7,2,2,6,10,7"
"374,ZETA,11,5,9,13,13,15"
"375,ZETA,13,8,11,17,13,16"
"376,ZETA,14,18,13,17,18,15"
"377,ZETA,18,15,15,20,15,17"
"378,ZETA,19,5,11,20,18,14"
"379,ZETA,8,o,2,6,15,8"
"380,OMEGA,14,7,12,17,18,14"
"381,OMEGA,A,AB,AB,A,A,A"
"382,OMEGA,16,14,11,18,15,5"
"383,OMEGA,I9,10,17,17,18,12"
"384,OMEGA,18,12,15,12,18,9"
"385,OMEGA,18,13,17,15,15,15"
"386,OMEGA,16,3,12,18,19,15"
"387,OMEGA,15,12,17,17,19,15"
"388,OMEGA,17,15,17,20,18,17"
"389,OMEGA,10,12,1,8,15,3"
"390,OMEGA,,17,17,19,20,17"
"391,OMEGA,15,3,12,10,18,14"
"392,OMEGA,11,15,11,19,15,8"
"393,OMEGA,18,11,18,18,15,12"
"394,OMEGA,2,5,1,2,10,6"
"395,OMEGA,12,0,6,4,10,9"
"396,OMEGA,18,6,10,20,19,17"
"397,OMEGA,16,11,7,17,13,14"
"398,OMEGA,20,20,19,20,20,18"
"399,OMEGA,20,20,19,20,20,18"
"400,OMEGA,20,20,19,20,18,15"
"401,OMEGA,A,A,A,A,AB,A"
"402,OMEGA,18,10,14,20,20,18"
"403,OMEGA,18,12,12,20,15,18"
"404,OMEGA,13,5,9,18,15,17"
"405,OMEGA,15,11,11,19,15,15"
"406,OMEGA,13,15,15,17,15,16"
"407,OMEGA,20,20,20,20,20,18"
"408,OMEGA,10,0,4,9,15,13"
"409,OMEGA,19,13,16,18,18,14"
"410,OMEGA,12,5,1,20,10,0"
"411,OMEGA,20,20,20,20,18,18"
"412,OMEGA,15,8,4,15,15,13"
"413,OMEGA,20,20,17,20,20,18"
"414,OMEGA,19,3,11,14,20,14"
"415,OMEGA,16,8,18,17,18,19"
"416,OMEGA,19,4,16,17,20,18"
"417,OMEGA,9,0,A,A,A,AB"
"418,OMEGA,17,7,15,15,15,16"
"419,OMEGA,19,6,16,16,18,19"
"420,SIGMA,20,20,20,20,20,19"
"421,SIGMA,18,3,19,15,14,18"
"422,SIGMA,16,0,14,Ab,18,15"
"423,SIGMA,17,2,11,6,10,10"
"424,SIGMA,16,12,13,4,15,17"
"425,SIGMA,6,1,A,A,A,AB"
"426,SIGMA,15,4,15,11,11,19"
"427,SIGMA,A,A,A,A,A,AB"
"428,SIGMA,20,16,20,20,19,19"
"429,SIGMA,20,17,20,20,20,19"
"430,SIGMA,19,8,15,14,14,12"
"431,SIGMA,6,I,9,11,8,10"
"432,SIGMA,20,19,20,20,16,17"
"433,SIGMA,19,13,20,18,20,16"
"434,SIGMA,18,8,20,19,20,18"
"435,SIGMA,20,1,17,17,12,17"
"436,SIGMA,19,13,12,11,14,17"
"437,SIGMA,19,6,20,13,20,17"
"438,SIGMA,16,7,11,17,15,17"
"439,SIGMA,15,7,10,5,8,10"
"440,EPSILON,20,16,20,,20,18"
"441,,20,18,20,19,20,18"
"442,,20,19,20,19,20,19"
"443,,20,11,18,14,20,15"
"444,,20,20,20,20,20,16"
"445,,5,2,11,0,10,AB"
"446,,20,8,19,14,20,13"
"447,,20,15,18,16,20,19"
"448,,20,12,13,17,20,14"
"449,,15,7,14,16,16,16"
"450,,20,11,20,13,15,16"
"451,,6,3,7,11,11,14"
"452,,17,1,11,17,20,19"
"453,,15,7,18,15,16,15"
"454,,1,5,0,A,A,AB"
"455,,20,9,19,17,20,18"
"456,,19,7,16,16,20,18"
"457,,15,7,10,9,9,I9"
"458,,12,3,2,8,7,12"
"459,,20,4,16,19,20,16"
"460,,17,3,18,8,13,14"
"461,,18,18,19,18,8,18"
"462,,A,A,A,A,A,AB"
"463,,19,12,12,12,11,15"
"464,,19,7,19,18,18,17"
"465,,20,8,19,5,16,19"
"466,,12,4,19,17,14,15"
"467,,17,3,14,11,19,17"
"468,,20,9,20,18,20,20"
"469,,20,7,17,17,20,18"
"470,,1,1,2,A,10,AB"
"471,,15,14,11,16,13,15"
"472,,20,20,20,20,20,20"
"473,,20,18,20,20,20,19"
"474,,20,20,20,20,20,20"
"475,,11,4,2,2,8,10"
"476,,18,2,12,3,17,15"
"477,,20,6,16,11,20,14"
"478,,20,,18,13,20,18"
"479,,20,20,5,19,18,14"
"480,,20,16,18,19,20,19"
